sha,committed_at,subject
f6e56bbd6edef614e83b2d5890fa2034f06fdd9f,2026-09-13T15:17:32-04:00,Java for C# developers: French translation of lessons 1-4 and journal
d32b1862af814e0fe541030a76646e2efa1bf6ef,2026-09-13T21:36:52-04:00,Java lessons 5-8 and a Spanish locale for the whole site
92ba31197e81ecf663d1247b2b8663d3e4a32d51,2026-09-13T21:56:10-04:00,Java lesson 9: concurrency and virtual threads
65a7a99200ebeddf86473ac9dc643ea7b8f5f890,2026-09-13T22:16:56-04:00,"Java lesson 10 code: Maven, Gradle and NuGet conflict builds"
fcce50ddb55dcbfa9b68db2a0224a6a39e54b841,2026-09-13T22:23:24-04:00,Java lesson 10: Maven and Gradle in depth
f317023251e2728ef3afd5e0a8707f84f6b6b2eb,2026-09-13T22:24:10-04:00,"wsl-containers: WslcImage, API networking, Kubernetes and GUI verified"
4c9e67352444548acd2d2cde6ac67bfef9cecc91,2026-09-13T22:30:11-04:00,"Java lesson 11 code: JUnit, AssertJ, Mockito and NullAway"
50895d6e8d7fefce88cf2c23b1601140b9e9265c,2026-09-13T22:50:24-04:00,Java lesson 11 code: BlockHound on JDK 25
6ff1e0767feb94038cf67ef113ec3adc179c4703,2026-09-13T23:06:28-04:00,"Java lesson 11: testing, with BlockHound"
2a633e541a482c912fd112ad3e300816868619a1,2026-09-13T23:23:11-04:00,"Java lesson 12 code: java.time, BigDecimal, files and HttpClient"
e1a32e91b646f4d024603ee430fcce51cf357590,2026-09-13T23:45:37-04:00,wsl-containers journal: Privileged has no effect as administrator either
77944806ab29f6d0ecc644ed5f960abbfd730e7c,2026-09-13T23:47:05-04:00,Java lesson 12: the standard library you reach for
61e7e4235b7bc138f2f35cd7f61195bdaed4b019,2026-09-14T08:45:20-04:00,GitHub Actions course: sample code and lesson 1-4 workflows
cb69dca950b667b876d8d32cfe778a24b6320c59,2026-09-14T08:45:36-04:00,"wsl-containers lessons 1-3: real outputs, PATH and admin-session traps, 127.0.0.1"
1de721b7d0cd5bc9731a975887a5a2759a8f9524,2026-09-14T08:46:32-04:00,"GHA 03 workflow: quote a run line containing "": """
5c9896f0883700d954cfad813c65e8d881de3bf4,2026-09-14T08:50:37-04:00,Deploy workflow: queue Pages deployments with a concurrency group
eb61451cb769e0b3aaa647d1893b5499b0832198,2026-09-14T08:54:52-04:00,GHA 02: manual workflow checking the exercise solutions
8f2fc289601b6d0732d4f4fbb33cf5f46e59232f,2026-09-14T09:05:10-04:00,GHA 04: manual workflow checking the exercise solutions
af2def46fc034d561d6df51742feefe6dce35e09,2026-09-14T09:12:15-04:00,"GitHub Actions course: lesson 5 workflows (NuGet lock files, caches, artifacts)"
5fc4ff3a066a122fbb5d0940db7c6967620c1a09,2026-09-14T09:14:41-04:00,GitHub Actions course: mission and lessons 1-4 in en/fr/es
3b04c850e32be52b370df987e38e62d439cb6fac,2026-09-14T09:18:11-04:00,GHA 05 exercises: download an artifact name uploaded twice
8b3195f1ddef17adbe587b7e0cee1634d9db1352,2026-09-14T09:23:59-04:00,"GitHub Actions course: lesson 6 workflows (composite action, reusable workflow)"
f1c20b8c6263d65bfe8a3ae6be2196cc116ea56b,2026-09-14T09:27:38-04:00,"GitHub Actions course: lesson 5, caches and artifacts (en/fr/es)"
93a0ea8e272c22ca37fd48cf3959b194f7d56e50,2026-09-14T09:29:17-04:00,"GitHub Actions course: lesson 7 workflows (permissions, masking, pinning, OIDC, injection)"
a7a6f729702b8a1a4ed15adcb709863a3eb63db6,2026-09-14T09:31:19-04:00,GHA 07: show token permissions with a write call that can't change anything
fd52d46d1d2940e5dee33790e4a2873056f074f3,2026-09-14T09:31:57-04:00,"GitHub Actions course: lesson 6, reusable workflows and composite actions (en/fr/es)"
3147e6456dab2be02bb05c6d9fe196ce9451cf1b,2026-09-14T09:39:58-04:00,"GitHub Actions course: lesson 9 workflow (debug logging, re-runs, timeouts)"
e5254f64492c9bb1db78bd9363d4cdfeece299bc,2026-09-14T09:40:31-04:00,"GitHub Actions course: lesson 7, security (en/fr/es)"
b96934a0b7700cf8bd7c2ae1a7f2cad7f29fdee6,2026-09-14T09:43:59-04:00,"GitHub Actions course: lesson 8, deploying to GitHub Pages (en/fr/es)"
35c2e3e14e76f1aaab00d1763690fa78742038e3,2026-09-14T09:46:32-04:00,GHA 09: manual workflow checking job and step timeouts
85a8c04c1338b5bd442c241e1f00b6f4159edbec,2026-09-14T09:48:44-04:00,GHA 09 exercises: isolate continue-on-error
b0803c9c8b251b30e38fab3800df440fe5b72b69,2026-09-14T09:53:01-04:00,"GitHub Actions course: lesson 10 actions and workflows (JavaScript, container)"
bcfc3fc57c5809a7c9951bdd4e342df6c4bdf58f,2026-09-14T09:54:03-04:00,GHA 10: make the container entrypoint executable
849fb189afc95f8927cf1a9c701902fa02b0619d,2026-09-14T09:55:21-04:00,"GitHub Actions course: lesson 9, debugging runs (en/fr/es)"
95a3830ebbcfa3f0addbc1eba8335a20cc2c41f2,2026-09-14T10:01:05-04:00,"GitHub Actions course: lesson 10, writing your own action (en/fr/es)"
3f3b219aa0447abd1abd93396545f59e2ac50771,2026-09-14T10:08:24-04:00,"DuckDB course: data snapshot of this repository's runs, lesson 1 SQL, CI on 3 OSes"
742c96769b9c55339dec3faf5306913946239cce,2026-09-14T10:24:14-04:00,DuckDB course: SQL and expected output for lessons 1-4 and their exercises
36207da02a3b3c9ede0a94e6d485d5f0fe3decaf,2026-09-14T10:25:34-04:00,"DuckDB course: don't compare Parquet compressed sizes, they differ on macOS arm64"
3e9530fadef33bdb24d0ffcef343f5cb9ea93925,2026-09-14T10:43:42-04:00,"DuckDB course: mission, lessons 1-4 and journal (en/fr/es)"
a96fd2738832cd307590797f89cfd98d8736e339,2026-09-14T11:13:02-04:00,"DuckDB course: lesson 5 C# program (DuckDB.NET, Dapper) and CI on 3 OSes"
5a26d1a93eee1db01f38305eeeb2b01ec742d127,2026-09-14T11:16:11-04:00,DuckDB course: lesson 6 Java program (JDBC) and CI on 3 OSes
bdf2692b5bd125f61bb301d06fafd7fb9aba7eba,2026-09-14T11:33:19-04:00,"DuckDB course: lesson 7 scripts (plans, pushdown, row groups) and CI timings"
86e34d90401997c226f53306839ed627b10f1e68,2026-09-14T11:48:40-04:00,"DuckDB course: lesson 7 exercises, lesson 8 persistence script and Java transactions"
cbcbb4241e3988706b23331087f5694e63a44191,2026-09-14T12:03:28-04:00,"DuckDB course: lessons 5-8 (C#, Java, performance, persistence) in en/fr/es"
