job_id,workflow,job,os,queue_s,setup_s,checkout_s,post_checkout_s,complete_s
103847665475,Rust course examples,rust-for-csharp-java (macos-latest),macos,10,2,3,1,1
103847665512,Deploy to GitHub Pages,build,ubuntu,3,4,1,0,0
103851265025,Deploy to GitHub Pages,build,ubuntu,3,3,1,0,0
103851485440,Deploy to GitHub Pages,build,ubuntu,3,3,2,0,0
103979246656,GHA 02: build and test,java (ubuntu-latest),ubuntu,3,1,1,0,0
103979246951,GHA 02: build and test,dotnet (ubuntu-latest),ubuntu,9,2,1,0,0
103979247016,GHA 02: build and test,java (windows-latest),windows,3,2,9,3,0
103979247047,GHA 02: build and test,dotnet (windows-latest),windows,3,2,6,2,0
103979247068,Deploy to GitHub Pages,build,ubuntu,4,4,1,0,0
103979247082,GHA 02: build and test,dotnet (macos-latest),macos,6,2,1,0,0
103979247090,GHA 02: build and test,java (macos-latest),macos,8,2,3,1,0
103979247585,Rust course examples,rust-for-csharp-java (macos-latest),macos,9,1,2,1,1
103979247883,Rust course examples,rust-for-csharp-java (windows-latest),windows,4,1,5,3,0
103979247975,Rust course examples,rust-for-csharp-java (ubuntu-latest),ubuntu,5,1,1,1,0
103979318039,Deploy to GitHub Pages,build,ubuntu,3,2,1,0,0
103979627059,Deploy to GitHub Pages,build,ubuntu,3,4,1,0,0
103980856432,GHA 02: build and test,java (macos-latest),macos,5,2,2,1,0
103980856707,GHA 02: build and test,dotnet (ubuntu-latest),ubuntu,3,2,1,1,0
103980856743,GHA 02: build and test,java (windows-latest),windows,3,2,5,2,0
103980856762,GHA 02: build and test,java (ubuntu-latest),ubuntu,3,1,1,0,0
103980856778,GHA 02: build and test,dotnet (macos-latest),macos,5,1,2,1,0
103980856930,GHA 02: build and test,dotnet (windows-latest),windows,3,1,5,3,0
103980859153,Deploy to GitHub Pages,build,ubuntu,4,4,2,0,0
103982169340,Deploy to GitHub Pages,build,ubuntu,3,3,1,0,0
103982222416,GHA 02: exercise checks,"java (ubuntu-latest, 22)",ubuntu,4,1,1,1,0
103985484217,Deploy to GitHub Pages,build,ubuntu,4,4,1,0,0
103987856697,Rust course examples,rust-for-csharp-java (windows-latest),windows,5,0,6,3,0
103987856746,Deploy to GitHub Pages,build,ubuntu,5,3,1,0,0
103987856764,GHA 02: build and test,dotnet (ubuntu-latest),ubuntu,5,1,1,1,0
103987856837,Rust course examples,rust-for-csharp-java (macos-latest),macos,11,1,3,1,0
103987856908,GHA 02: build and test,java (ubuntu-latest),ubuntu,4,1,1,0,0
103987856965,GHA 02: build and test,java (windows-latest),windows,5,2,5,3,0
103987856969,Rust course examples,rust-for-csharp-java (ubuntu-latest),ubuntu,6,1,2,1,0
103987856999,GHA 05: caches and artifacts,pack,ubuntu,4,1,1,0,0
103987857020,GHA 05: caches and artifacts,test (windows-latest),windows,6,1,6,3,0
103987857064,GHA 05: caches and artifacts,test (ubuntu-latest),ubuntu,4,1,1,1,0
103987857071,GHA 02: build and test,dotnet (windows-latest),windows,4,1,5,3,0
103987857107,GHA 02: build and test,java (macos-latest),macos,12,2,2,1,0
103987857133,GHA 02: build and test,dotnet (macos-latest),macos,12,1,3,0,0
103987857182,GHA 05: caches and artifacts,test (macos-latest),macos,10,1,2,1,1
103987906417,GHA 05: exercise checks,no-lock-file,ubuntu,4,2,1,0,0
103988690925,Deploy to GitHub Pages,build,ubuntu,3,5,1,1,0
103989147694,GHA 05: caches and artifacts,pack,ubuntu,3,2,5,0,0
103989148000,GHA 05: caches and artifacts,test (ubuntu-latest),ubuntu,4,1,1,0,0
103989148116,GHA 05: caches and artifacts,test (macos-latest),macos,6,2,2,1,0
103989148145,GHA 05: caches and artifacts,test (windows-latest),windows,6,1,7,2,1
103989161149,GHA 05: exercise checks,no-lock-file,ubuntu,2,1,1,0,0
103989897193,Deploy to GitHub Pages,build,ubuntu,4,3,1,0,0
103989929606,GHA 05: exercise checks,no-lock-file,ubuntu,3,1,1,0,0
103991904861,GHA 06: reuse,test (ubuntu-latest) / test,ubuntu,3,0,1,1,0
103991905324,GHA 06: reuse,test (windows-latest) / test,windows,3,1,5,3,0
103991905472,Deploy to GitHub Pages,build,ubuntu,4,4,2,0,0
103991955121,GHA 06: exercise checks,no-shell,ubuntu,3,1,1,0,0
103993151221,Deploy to GitHub Pages,build,ubuntu,3,3,1,0,1
103993708910,GHA 07: security,pinned,ubuntu,3,1,1,0,0
103993709228,Deploy to GitHub Pages,build,ubuntu,4,3,1,0,0
103993760209,GHA 07: exercise checks,job-permissions,ubuntu,3,0,1,0,0
103993770977,GHA 07: security,pinned,ubuntu,3,1,1,0,0
103993849802,GHA 07: security,pinned,ubuntu,3,1,1,0,0
103994420998,GHA 07: security,pinned,ubuntu,3,0,2,0,0
103994421964,Deploy to GitHub Pages,build,ubuntu,3,2,1,1,0
103994735569,Deploy to GitHub Pages,build,ubuntu,3,3,0,0,0
103996139794,Deploy to GitHub Pages,build,ubuntu,3,3,1,0,0
103997440142,Deploy to GitHub Pages,build,ubuntu,3,4,1,1,0
103997759920,Deploy to GitHub Pages,build,ubuntu,4,2,1,0,0
103998867240,Deploy to GitHub Pages,build,ubuntu,3,2,0,1,0
103999776847,Deploy to GitHub Pages,build,ubuntu,4,7,2,0,1
104000556763,Deploy to GitHub Pages,build,ubuntu,3,4,2,0,0
104002066968,GHA 10: custom actions,container,ubuntu,4,1,1,0,0
104002066970,Deploy to GitHub Pages,build,ubuntu,3,3,2,0,0
104002067146,GHA 10: custom actions,javascript (macos-latest),macos,11,1,3,1,0
104002067308,GHA 10: custom actions,javascript (ubuntu-latest),ubuntu,3,1,3,1,0
104002067344,GHA 10: custom actions,javascript (windows-latest),windows,3,0,6,2,0
104002121727,GHA 10: exercise checks,container-on-windows,windows,3,1,6,2,0
104002122094,GHA 10: exercise checks,inputs,ubuntu,3,0,1,1,0
104002122271,GHA 10: exercise checks,commonjs,ubuntu,3,1,1,0,0
104002434534,GHA 10: custom actions,container,ubuntu,5,0,1,0,0
104002434701,GHA 10: custom actions,javascript (ubuntu-latest),ubuntu,4,1,1,0,0
104002434771,GHA 10: custom actions,javascript (windows-latest),windows,4,0,6,3,0
104002434803,GHA 10: custom actions,javascript (macos-latest),macos,9,1,1,1,0
104002434907,Deploy to GitHub Pages,build,ubuntu,4,4,1,0,0
104002893758,Deploy to GitHub Pages,build,ubuntu,3,3,3,1,0
104004920113,Deploy to GitHub Pages,build,ubuntu,4,4,2,1,0
